Frames per stream, Peak memory usage [MB]
1, 11.9913253784
2, 14.239982605
3, 14.239982605
4, 17.5072479248
5, 19.1408843994
6, 17.719291687
7, 20.1463775635
8, 20.3615570068
9, 25.6757354736
10, 27.3093719482
11, 24.3249588013
12, 26.9677581787
13, 26.9677581787
14, 29.6100234985
