scaleByStrain, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
true, 1.0, 7, no_regularization, -0.0123162812392, 0.00124302885259, 9.90828267065, -0.0016056444838, 0.0535313707319, 0.0299944586108
true, 1.0, 8, no_regularization, -0.0120944056026, 0.00117544665243, 10.2891999204, 0.00576511889769, 0.00555023021521, 1.03871707554
true, 1.0, 9, no_regularization, -0.0119265194049, 0.000773250225244, 15.4238809321, 0.00600774683446, 0.0044982939385, 1.33556119644
true, 1.0, 10, no_regularization, -0.0120745909125, 0.0015441624014, 7.81950842836, 0.00617958340404, 0.00673790236655, 0.917137570102
true, 1.0, 6, regularization, -0.0124816696692, 0.00100139599876, 12.4642695643, 0.00568257337134, 0.00284485180525, 1.99749363424
true, 1.0, 7, regularization, -0.0123194837837, 0.00123836749306, 9.94816470297, 0.00604382653391, 0.00252775549704, 2.39098541809
true, 1.0, 8, regularization, -0.012081139408, 0.00121904579839, 9.91032447184, 0.00567914741555, 0.00253749869288, 2.23808880434
true, 1.0, 9, regularization, -0.0119531463519, 0.00104222677517, 11.4688536475, 0.00588134506637, 0.00206062480238, 2.85415620523
true, 1.0, 10, regularization, -0.0120878257613, 0.00136996484281, 8.82345691182, 0.00588125644191, 0.0025110467824, 2.34215327374
true, 9.0, 6, no_regularization, -0.0950604714469, 0.341870074564, 0.278060229659, -0.00808895031267, 0.384956548677, 0.0210126320502
true, 9.0, 7, no_regularization, 0.0140097678709, 0.38427753735, 0.036457420768, -0.0253267191305, 0.54350230633, 0.0465991014859
true, 9.0, 8, no_regularization, -0.00121841750659, 0.42317053511, 0.00287925884601, -0.0644738473453, 0.479254401636, 0.134529483976
true, 9.0, 9, no_regularization, -0.0243255394684, 0.349297390708, 0.0696413432093, -0.0061165058133, 0.631863301475, 0.00968010928792
true, 9.0, 10, no_regularization, -0.0143773863969, 0.399592096732, 0.0359801570514, -0.0531355520539, 0.825913505522, 0.0643354923955
true, 9.0, 6, regularization, 0.0481804904109, 0.371014128479, 0.129861605563, 0.06064145405, 0.652879779818, 0.0928830328715
true, 9.0, 7, regularization, 0.0104776980896, 0.281762253092, 0.0371863085797, 0.00785227023521, 0.505041943599, 0.0155477586263
true, 9.0, 8, regularization, -0.00627989829289, 0.253561009096, 0.024766813775, -0.0610409514712, 0.472279771301, 0.129247440141
true, 9.0, 9, regularization, -0.0354502133438, 0.405352784527, 0.0874552111073, 0.0220843529279, 0.833277408843, 0.0265030021137
true, 9.0, 10, regularization, -0.00340887730693, 0.317110863413, 0.0107497966807, 0.064674553872, 0.627573370828, 0.103054968356
false, 9.0, 6, no_regularization, 0.0172785184035, 0.361749563515, 0.0477637574339, 0.014343051461, 0.486805894843, 0.029463594449
false, 9.0, 7, no_regularization, 0.0657600952183, 0.333392725237, 0.197245141362, -0.0417843253161, 0.435359776294, 0.095976540763
false, 9.0, 8, no_regularization, 0.0124140954345, 0.317536905409, 0.0390949688778, 0.0152347666763, 0.377373145972, 0.0403705638277
false, 9.0, 9, no_regularization, -0.0167370176589, 0.371560062672, 0.0450452546986, -0.0280153210688, 0.473897002727, 0.0591168986247
false, 9.0, 10, no_regularization, -0.00643600656567, 0.400207426316, 0.0160816770066, 0.0479139333502, 0.616098364439, 0.0777699408338
false, 9.0, 6, regularization, -0.0105403862578, 0.291535047077, 0.036154782636, 0.0381386254131, 0.608201927003, 0.0627071762186
false, 9.0, 7, regularization, 0.0661526988174, 0.234537613931, 0.282055819144, -0.0280828209519, 0.389530680542, 0.0720939899081
false, 9.0, 8, regularization, -0.00237132760459, 0.301581572901, 0.00786297246803, -0.145498707957, 0.500575987215, 0.290662580054
false, 9.0, 9, regularization, -0.00960521206233, 0.287849576497, 0.0333688594551, 0.0157628306643, 0.646857478577, 0.0243683209769
false, 9.0, 10, regularization, -0.0186176161331, 0.295309963532, 0.0630443209922, 0.0579851449443, 0.576723708541, 0.10054232917
false, 3.0, 6, no_regularization, -0.0347364608004, 0.00285728979528, 12.1571360587, 0.00615022079737, 0.0667914789373, 0.0920809195308
false, 3.0, 7, no_regularization, -0.0344197106444, 0.00309561119818, 11.1188739286, 0.00250874714607, 0.0774014811729, 0.0324121335672
false, 3.0, 8, no_regularization, -0.0345315688076, 0.00357677411013, 9.65438905124, 0.00905588946229, 0.0601536396747, 0.150545993746
false, 3.0, 9, no_regularization, -0.0343645974182, 0.00295727149141, 11.6203728734, 0.00337238134194, 0.0733176379831, 0.0459968628928
false, 3.0, 10, no_regularization, -0.0349127413359, 0.0232552446225, 1.50128463074, 0.00828379721326, 0.0704684246646, 0.117553319131
false, 3.0, 6, regularization, -0.0347150716977, 0.00270244941769, 12.8457803763, 0.0166399200077, 0.00555743227817, 2.99417413921
false, 3.0, 7, regularization, -0.0344171604643, 0.00293304284091, 11.7342849495, 0.0171377938539, 0.00454875768167, 3.7675767876
false, 3.0, 8, regularization, -0.034519030766, 0.00301833471662, 11.4364489054, 0.017468693274, 0.00517652754811, 3.37459679518
false, 3.0, 9, regularization, -0.0343827529134, 0.00276035520788, 12.4559161137, 0.0169917731883, 0.0052439654024, 3.24025272563
false, 3.0, 10, regularization, -0.0349241775909, 0.00360841885101, 9.67852653278, 0.0176847044655, 0.00530787911613, 3.33178357657
true, 3.0, 6, no_regularization, -0.0347481513749, 0.00151340697347, 22.9602162432, 0.00405247282855, 0.0734696568021, 0.0551584559523
true, 3.0, 7, no_regularization, -0.0344153383937, 0.00198195042601, 17.3643790188, 0.00202694662458, 0.0795326483541, 0.0254857177088
true, 3.0, 8, no_regularization, -0.0345491436532, 0.0025192180206, 13.7142332941, 0.00997209710522, 0.0565502217699, 0.176340548156
true, 3.0, 9, no_regularization, -0.0343749723724, 0.00157569615619, 21.8157366428, 0.00302657370054, 0.075017221696, 0.040345051871
true, 3.0, 10, no_regularization, -0.0349259015578, 0.00331033419595, 10.5505666469, 0.011737749324, 0.0515284592603, 0.22779158338
true, 3.0, 6, regularization, -0.0347281648187, 0.00214752110838, 16.171279846, 0.0170484066303, 0.00436107507072, 3.90922108743
true, 3.0, 7, regularization, -0.0344113490656, 0.00243465611909, 14.1339669269, 0.0172271720374, 0.00425665882158, 4.04711130478
true, 3.0, 8, regularization, -0.0345301120396, 0.00256908428512, 13.440630282, 0.0175934262516, 0.00489085177441, 3.59721109186
true, 3.0, 9, regularization, -0.0344055935266, 0.00224356184959, 15.3352552028, 0.0171849091469, 0.00480753334524, 3.57457929313
true, 3.0, 10, regularization, -0.0349482709853, 0.0030275704006, 11.5433388364, 0.0176363006394, 0.00544319932329, 3.24006151381
true, 0.5, 6, no_regularization, -0.00635101655618, 0.000592818611013, 10.7132543382, 0.00280998352565, 0.0029126896824, 0.964738380005
true, 0.5, 7, no_regularization, -0.00616735351716, 0.000819873302793, 7.52232509114, 0.00266660942814, 0.00617323538568, 0.431963024498
true, 0.5, 8, no_regularization, -0.00631551058698, 0.000704618478537, 8.96302152065, 0.00291793341955, 0.00327062416699, 0.892164085681
true, 0.5, 9, no_regularization, -0.00604715023455, 0.000591923770872, 10.2160962815, 0.00280808794995, 0.0033055456858, 0.849508134774
true, 0.5, 10, no_regularization, -0.00615623908405, 0.000986745710636, 6.23893168999, 0.00329619718894, 0.0050752399367, 0.649466277468
true, 0.5, 6, regularization, -0.00633251348909, 0.00124832200932, 5.0728205077, 0.00283935542399, 0.00223895698504, 1.26815988112
true, 0.5, 7, regularization, -0.00617474878002, 0.00134245413306, 4.59959757875, 0.00275758246794, 0.00266067694567, 1.03642137856
true, 0.5, 8, regularization, -0.00629543718723, 0.00127834242885, 4.92468766203, 0.00307724845901, 0.00220220843699, 1.39734659413
true, 0.5, 9, regularization, -0.0060379173362, 0.00140933616713, 4.28422790603, 0.00274361816271, 0.00237477387726, 1.15531764476
true, 0.5, 10, regularization, -0.00615873162467, 0.00143115772275, 4.30332137874, 0.0030647429682, 0.00241720608109, 1.26788650425
false, 7.0, 6, no_regularization, -0.0236143066294, 0.417835284165, 0.0565158269882, -3.80697006951e-05, 0.380000311218, 0.000100183340832
false, 7.0, 7, no_regularization, 0.0221173336921, 0.530642692977, 0.0416802756069, -0.0509390147573, 0.393060609908, 0.129595826886
false, 7.0, 8, no_regularization, -0.0244118298317, 0.304455180493, 0.0801820149426, -0.0154603177817, 0.347445513759, 0.0444971000328
false, 7.0, 9, no_regularization, -0.00727249794976, 0.324998279129, 0.0223770352546, 0.059326828272, 0.378808737796, 0.156614202242
false, 7.0, 10, no_regularization, 0.000660219810558, 0.338924206254, 0.00194798659516, -0.050877978716, 0.41140577463, 0.123668606163
false, 7.0, 6, regularization, -0.0437290189252, 0.292039661209, 0.149736575998, 0.0445604057488, 0.283929499954, 0.156941796312
false, 7.0, 7, regularization, -0.00916077127727, 0.244605084539, 0.0374512708701, -0.0677494872667, 0.643154700572, 0.105339333144
false, 7.0, 8, regularization, -0.0446996346381, 0.256161038523, 0.174498178551, -0.0245058653815, 0.48282608631, 0.0507550566889
false, 7.0, 9, regularization, -0.0251813132532, 0.494060107454, 0.0509681167802, -0.0225731910948, 0.580137729511, 0.0389100552275
false, 7.0, 10, regularization, 0.0175648993677, 0.242985822824, 0.0722877539256, -0.0277682483188, 0.338977122554, 0.0819177651567
true, 5.0, 6, no_regularization, -0.0375996121751, 0.208045759423, 0.180727606654, 0.005723516355, 0.211768808657, 0.0270271924902
true, 5.0, 7, no_regularization, -0.0489826025272, 0.127929323895, 0.382887996559, -0.00184753979504, 0.151960546396, 0.0121580228478
true, 5.0, 8, no_regularization, -0.069093488966, 0.166980903415, 0.41378078303, 0.0186236353885, 0.185769504982, 0.100251305457
true, 5.0, 9, no_regularization, -0.0563947663238, 0.00243143385866, 23.1940367709, 0.0158118000484, 0.078337239738, 0.201842700882
true, 5.0, 10, no_regularization, -0.0599850384327, 0.0917359939627, 0.653887703633, 0.0156935546872, 0.123243177063, 0.127338121762
true, 5.0, 6, regularization, -0.0374204105263, 0.125367666567, 0.29848533957, 0.0149175513832, 0.159933028751, 0.0932737377617
true, 5.0, 7, regularization, -0.0447553677354, 0.0839504464479, 0.533116494659, 0.0165141774146, 0.14617407769, 0.112976101341
true, 5.0, 8, regularization, -0.0584854417486, 0.103664123828, 0.564182087198, 0.0225123966133, 0.158770724721, 0.141791861522
true, 5.0, 9, regularization, -0.056402874568, 0.00203007995934, 27.7835729123, 0.029002295844, 0.00660573554649, 4.39047183162
true, 5.0, 10, regularization, -0.0317925447902, 0.137989487664, 0.230398310252, 0.0288155735566, 0.141577706135, 0.203531857827
